"","hs.1.","hs.2.","hl","ts.1.","ts.2.","p.1.","p.2.","p.3.","gamma","rho.1.","phi","delta.1.","delta.2.","delta.3.","delta.4.","L.1.","tau.1.","tau.2.","tau.3.","tau.4.","w.1.","lc.1.1.","lc.2.1.","lc.2.2.","lc.2.3.","lc.2.4.","alpha.1.","beta.1.","lc.3.1.","lc.3.2.","lc.3.3.","lc.3.4."
"9300",2.27812,4.35225,77.2859,-3.07834,0.429951,0.215887,0.283695,0.449493,0.419112,2.7685,0.269913,0.192161,0.378398,0.179485,0.153704,1.20521,1.01189,0.0739443,2.50161,1.14437,3.13834,4.89384,6.84639,7.2578,7.01184,5.77802,0.361311,0.281116,5.18723,5.59864,5.35268,4.11886
"10237",2.51828,4.57789,88.0038,-2.93624,-0.564848,0.238354,0.298792,0.470048,0.403398,2.65296,0.212499,0.233793,0.453776,0.163788,0.164434,0.812138,1.55086,2.53397,2.74362,0.162468,3.71228,4.96323,6.94738,7.28367,7.00306,6.3286,0.351852,0.300805,3.80582,4.14211,3.8615,3.18704
"14544",1.34414,3.92167,69.9106,-1.86503,1.10002,0.226608,0.303431,0.477924,0.428033,2.66141,0.239208,0.198694,0.366687,0.147544,0.137576,0.286014,1.47284,0.231443,1.16454,1.61246,2.70109,5.17772,6.65496,6.86941,6.84837,5.8597,0.488168,0.498721,4.71891,4.93336,4.91232,3.92365
"16186",1.8876,4.01552,56.6944,-2.50352,0.743989,0.225812,0.295753,0.46463,0.393949,2.68867,0.312574,0.223986,0.456937,0.17164,0.146449,0.496936,0.569211,1.13663,2.30613,0.189956,2.01962,5.10823,6.64466,6.87178,6.67439,5.75633,0.557819,0.5786,5.829243,6.056363,5.858973,4.940913
"10808",2.37824,4.72542,95.0843,-2.39558,0.148886,0.231065,0.280594,0.44904,0.440525,2.23136,0.24705,0.189376,0.490764,0.161153,0.101918,0.465899,0.797051,1.43948,3.67017,0.370636,3.26843,4.98269,7.03976,7.36412,6.96194,6.19611,0.36537,0.336811,5.60606,5.93042,5.52824,4.76241
"18926",1.62394,4.23487,66.8994,-2.35992,0.334611,0.223966,0.288318,0.453087,0.526747,2.58652,0.215064,0.206334,0.369268,0.164644,0.120897,1.00435,2.01937,0.721493,1.51877,0.940884,2.49336,4.94107,6.7709,6.99818,6.93633,5.99336,0.597361,0.442701,2.80588,3.03316,2.97131,2.02834
"16109",2.54052,4.32658,96.0796,-3.00605,-0.266287,0.216643,0.294497,0.465915,0.395842,2.54322,0.154185,0.175919,0.321388,0.167228,0.16519,0.894532,1.46591,0.822862,1.51644,0.650883,3.3166,4.94573,6.87733,7.28911,6.87135,6.50975,0.419829,0.280124,3.62773,4.03951,3.62175,3.26015
"19322",1.39121,4.46831,91.0252,-2.33706,1.066,0.239857,0.303473,0.489702,0.558015,2.3341,0.279292,0.231018,0.455082,0.189534,0.11754,1.6378,1.11049,0.641965,2.97261,1.51511,1.78152,4.45976,6.73082,6.86237,7.08255,5.91039,0.814557,0.800497,3.89243,4.02398,4.24416,3.072
"17025",2.02458,4.28065,75.6086,-1.15153,0.920593,0.221889,0.301416,0.475672,0.440181,2.54119,0.239662,0.221757,0.480071,0.200455,0.163199,1.25171,1.33995,0.864314,2.26444,1.54506,3.34108,4.64039,6.83874,7.21276,6.84527,6.1256,0.398811,0.325496,5.00216,5.37618,5.00869,4.28902
"4105",1.61957,4.36613,72.9416,-1.79829,0.514936,0.229258,0.296004,0.465971,0.400313,2.37788,0.172202,0.195476,0.363103,0.145212,0.151286,0.760617,1.57245,0.825841,1.3442,0.268132,3.34971,4.84009,6.7505,7.09883,6.82404,6.50395,0.376166,0.462818,6.606252,6.954582,6.679792,6.359702
"3159",1.85627,3.90825,68.7199,-2.95975,0.41294,0.228914,0.305929,0.481809,0.377969,2.36191,0.231963,0.175874,0.318621,0.143469,0.160696,0.760544,0.626679,0.577655,2.67339,0.656411,3.59375,5.0375,6.75494,7.08486,6.94255,6.10544,0.329638,0.377904,5.881976,6.211896,6.069586,5.232476
"7877",1.4625,3.75366,60.0603,-1.8404,1.19123,0.221729,0.294634,0.474626,0.351086,2.45852,0.323535,0.190523,0.47139,0.171051,0.111085,0.313657,0.961202,0.641665,1.36478,0.873699,3.15793,5.05757,6.70959,7.11669,6.66822,6.10158,0.311908,0.340066,2.0875,2.4946,2.04613,1.47949
"15280",1.50134,3.91655,55.9288,-2.06564,0.529835,0.229884,0.304934,0.462992,0.354603,2.03448,0.281699,0.229066,0.324383,0.189557,0.0811355,0.891891,1.47315,1.33219,1.25074,0.384201,2.42019,4.80301,6.69004,6.95138,7.1021,5.92273,0.608844,0.479282,5.49622,5.75756,5.90828,4.72891
"4404",1.87347,4.10018,95.8145,-1.60243,0.634611,0.235105,0.309003,0.484473,0.369677,2.53511,0.135705,0.235962,0.424629,0.158362,0.0988983,0.164093,0.345187,0.212909,1.44945,1.29452,3.33154,5.23162,6.90293,7.23521,6.9154,6.11105,0.425987,0.379833,-0.0857800000000007,0.2465,-0.0733100000000002,-0.877660000000001
"2029",1.98538,3.64934,76.2423,-2.86681,0.261172,0.22071,0.29619,0.462178,0.470319,2.33226,0.246937,0.180264,0.418176,0.146105,0.0581118,1.01051,1.82648,1.59528,2.51216,0.286199,1.58242,4.67213,6.8052,6.44251,6.55641,5.61177,0.809317,0.524169,6.680249,6.317559,6.431459,5.486819
"16536",2.58979,3.08755,91.7502,-2.55315,0.283371,0.219965,0.291887,0.447142,0.525931,2.64444,0.285541,0.125667,0.300786,0.138506,0.126847,1.37897,0.753237,0.383199,3.01543,0.675657,3.12357,4.75406,6.83203,7.09362,6.81618,6.48764,0.323149,0.304099,6.073713,6.335303,6.057863,5.729323
"4399",0.894716,3.80735,61.0314,-2.55447,0.864434,0.238575,0.292113,0.459619,0.459012,2.39025,0.130583,0.206672,0.434399,0.186479,0.0566478,0.572285,0.893978,1.67329,2.24795,0.67707,2.18138,5.03367,6.59212,6.82439,6.63585,6.1483,0.671288,0.689116,5.03039,5.26266,5.07412,4.58657
"1969",1.9556,3.03317,98.2083,-2.42392,0.15,0.244242,0.316945,0.529631,0.407138,2.88171,0.380894,0.220931,0.359433,0.122653,0.110968,1.04193,1.82095,0.333444,2.25153,0.467776,3.08106,4.96408,6.80376,7.06875,6.83263,6.34257,0.346347,0.383009,5.71819,5.98318,5.74706,5.257
"6536",0.501325,4.91427,82.5188,-2.71272,0.298374,0.222416,0.2861,0.43854,0.475194,2.45589,0.174489,0.200508,0.442534,0.191861,0.131688,0.582607,2.34686,2.81792,2.28078,1.66572,2.14096,5.38643,6.80949,6.97407,7.08539,6.23481,0.728174,0.49399,4.73826,4.90284,5.01416,4.16358
"6606",2.15688,4.34509,78.4906,-1.29301,0.867365,0.218113,0.282405,0.427934,0.515894,2.23511,0.221054,0.190647,0.411759,0.153526,0.159506,1.15192,0.543835,0.799106,2.1301,1.1319,1.73509,4.36458,6.54946,6.68536,6.78177,6.00171,0.529965,0.744456,6.243935,6.379835,6.476245,5.696185
"12326",1.90514,4.17947,94.5859,-1.73713,-0.428216,0.232551,0.304693,0.463608,0.453894,2.40003,0.201479,0.222429,0.394804,0.12879,0.139056,0.819792,0.913203,0.815372,3.04978,0.0279443,2.35956,4.8884,6.96046,6.99627,6.9458,6.39688,0.577349,0.519534,6.640229,6.676039,6.625569,6.076649
"3867",2.56374,4.57934,76.8598,-2.24359,0.229474,0.233573,0.296972,0.488617,0.434446,2.66356,0.243761,0.157315,0.379511,0.173216,0.221312,0.446491,0.382131,0.292347,2.82289,2.08812,1.98289,4.94869,6.87504,6.8655,6.68582,5.79875,0.522235,0.571548,6.357205,6.347665,6.167985,5.280915
"9741",2.63893,3.93133,94.2478,-2.01457,0.475037,0.226943,0.289993,0.452693,0.56128,2.33082,0.29741,0.176505,0.401153,0.125342,0.129598,0.475539,2.29783,2.21653,2.92133,0.228241,4.42271,4.9504,6.84896,7.33566,6.78127,6.37574,0.265157,0.327588,4.85378,5.34048,4.78609,4.38056
"18237",2.18844,4.21821,72.5442,-1.81115,1.40403,0.227451,0.308276,0.486867,0.502813,2.32143,0.262125,0.18605,0.414806,0.152557,0.166398,0.732573,1.72791,1.22122,1.72113,1.27362,3.50767,4.79998,6.79615,7.06553,6.93969,6.33773,0.36042,0.313258,4.62269,4.89207,4.76623,4.16427
"6004",1.6382,4.52326,79.0848,-2.29789,0.423029,0.229069,0.304889,0.475553,0.52303,2.40093,0.290792,0.17765,0.321034,0.149663,0.136094,0.160397,2.62703,0.831099,1.32283,0.250341,2.93257,5.24707,6.95889,6.98239,6.88088,6.03808,0.452663,0.514475,6.510743,6.534243,6.432733,5.589933
"13356",1.28776,4.78082,69.2487,-1.63727,1.05676,0.229453,0.299201,0.466848,0.368984,2.74365,0.303234,0.241415,0.377849,0.20079,0.0814751,1.28033,2.52316,1.12222,3.1166,1.01922,2.6556,4.73747,6.68071,7.01005,6.71229,6.59183,0.575027,0.506272,6.220267,6.549607,6.251847,6.131387
"10433",1.50579,4.89735,68.5405,-2.47998,-0.449894,0.228617,0.302264,0.480648,0.422969,2.55294,0.212014,0.237188,0.428308,0.176857,0.167093,2.02338,2.29746,0.142553,1.71977,2.42663,3.45682,4.74631,6.96825,7.31181,6.87683,5.8237,0.424529,0.395499,4.28845,4.63201,4.19703,3.1439
"18458",1.61547,3.62482,92.067,-1.55554,-0.67817,0.217306,0.284296,0.426578,0.520874,2.22455,0.254369,0.144174,0.371515,0.117695,0.132581,0.567895,0.775198,0.405179,1.02525,0.413964,2.93506,4.90253,6.84252,7.20999,6.88015,6.51111,0.284789,0.310917,4.71896,5.08643,4.75659,4.38755
"17676",1.92727,4.14904,62.7796,-2.57252,0.765486,0.233996,0.295311,0.460039,0.382924,2.24367,0.186566,0.160751,0.357338,0.12409,0.0560159,1.42934,0.826785,1.46151,1.41421,1.83945,2.92234,4.65023,6.70265,6.93241,6.82204,7.53132,0.323473,0.465407,3.45932,3.68908,3.57871,4.28799
"13057",2.51983,4.20881,58.2028,-3.12519,0.0403748,0.222334,0.296102,0.471804,0.399968,2.11752,0.265586,0.186389,0.436088,0.161981,0.0827858,0.323207,0.394854,2.32544,3.82205,0.993012,2.18571,4.87444,6.78375,6.8896,7.0402,5.98917,0.585796,0.481661,5.20981,5.31566,5.46626,4.41523
"7544",2.27746,4.78588,89.0382,-2.29591,0.977417,0.218733,0.287243,0.445301,0.608708,2.52056,0.216472,0.208324,0.391945,0.132736,0.10513,0.773596,0.837392,2.16424,2.15622,1.90625,2.2859,4.97738,6.8076,6.82584,6.93656,5.78868,0.555452,0.643103,6.208884,6.227124,6.337844,5.189964
"19662",1.58832,3.6297,66.219,-1.88377,0.906586,0.231723,0.294041,0.453288,0.505226,2.1917,0.272098,0.236295,0.418161,0.209367,0.0633641,0.921041,2.02632,0.758876,1.86728,0.354054,2.51824,4.77835,6.94485,6.96725,6.81552,5.86309,0.683166,0.381367,5.1494,5.1718,5.02007,4.06764
"18088",2.2123,5.72759,103.466,-2.3411,0.445568,0.230516,0.311362,0.470033,0.396868,2.09964,0.236145,0.17844,0.453011,0.183389,0.17524,1.33244,0.878745,0.428476,2.10061,0.680374,1.8909,4.58893,6.88596,6.81476,6.90476,5.75187,0.699152,0.63778,5.5486,5.4774,5.5674,4.41451
"19351",1.43528,4.72612,62.3515,-1.5206,-0.0954678,0.218534,0.291598,0.459484,0.439329,2.45017,0.336691,0.241124,0.328985,0.152099,0.0744367,1.0725,1.85343,1.98628,2.65452,0.146564,2.11467,4.60542,6.86343,6.74039,6.76001,5.96213,0.702344,0.726204,5.953311,5.830271,5.849891,5.052011
"8284",2.33656,4.77497,79.3264,-2.9082,0.941437,0.212301,0.277864,0.426368,0.527804,2.17505,0.185907,0.18326,0.357949,0.114581,0.110115,0.986113,1.27306,1.54765,2.57441,0.347582,1.44908,4.43168,6.6882,6.10839,6.7307,6.05036,0.679891,1.22865,5.980327,5.400517,6.022827,5.342487
"13519",1.5789,3.4663,58.9017,-2.16633,0.977693,0.216072,0.288164,0.435085,0.365464,2.25235,0.277432,0.177837,0.519443,0.24462,0.038783,0.883697,1.07057,1.18877,1.44203,1.05959,2.56457,4.77811,6.64881,7.04918,6.56522,6.24814,0.529669,0.538538,6.368415,6.768785,6.284825,5.967745
"14516",1.57697,4.19987,97.0476,-2.00422,-0.416688,0.236444,0.304845,0.483577,0.493034,2.43876,0.280819,0.236848,0.368385,0.159502,0.16336,0.518289,0.148722,0.646115,2.41835,0.457911,3.42703,5.11445,6.95746,7.24205,7.10837,6.1984,0.434261,0.437583,5.12775,5.41234,5.27866,4.36869
"5215",1.28047,4.09617,81.8433,-2.51104,-0.168052,0.220151,0.291645,0.466441,0.436548,2.69876,0.301064,0.209092,0.404487,0.210256,0.171313,0.319863,0.0285678,1.23198,1.38429,3.22197,2.76553,5.57951,6.84094,7.07122,6.88366,6.21177,0.657115,0.585895,6.305211,6.535491,6.347931,5.676041
"2574",2.33087,4.67008,81.5241,-1.90178,0.269584,0.222459,0.299184,0.465044,0.453574,2.44956,0.257882,0.205051,0.403885,0.177084,0.0602589,0.63128,0.373851,0.173253,2.01895,0.0123495,2.42444,4.7807,6.73938,6.926,6.87714,6.38078,0.381643,0.527345,3.51716,3.70378,3.65492,3.15856
"79",1.68839,3.97953,73.1374,-1.33984,-0.555174,0.22483,0.297681,0.463239,0.387876,2.32314,0.337243,0.207224,0.42048,0.177849,0.130359,0.251292,1.28855,0.188673,1.49036,0.73857,3.50747,5.02521,6.8493,7.163,6.86977,6.24437,0.305899,0.404529,2.1989,2.5126,2.21937,1.59397
"5775",1.61854,4.48892,84.817,-1.68303,0.662621,0.226633,0.289726,0.438265,0.326718,2.24873,0.315243,0.156983,0.393323,0.129609,0.0862804,0.203931,0.188785,1.82865,2.26181,1.74608,2.19033,5.15789,6.66607,6.9303,6.87043,6.38824,0.323042,0.639346,0.66776,0.93199,0.87212,0.38993
"1233",1.53362,3.37175,72.8093,-2.30217,0.811562,0.218633,0.290876,0.441149,0.423188,2.2538,0.199344,0.171043,0.428789,0.153751,0.181577,0.490775,1.58434,1.36698,2.7576,0.212956,3.25466,4.94787,6.64308,7.0529,6.76565,6.0007,0.360382,0.484715,6.503336,6.913156,6.625906,5.860956
"18965",1.37066,4.42706,87.4493,-2.55513,0.97747,0.228591,0.295089,0.462939,0.490906,2.4869,0.300104,0.179355,0.371808,0.133663,0.103912,0.448869,1.1708,0.749863,0.596254,0.247984,2.22754,5.17498,6.59462,6.80704,6.84048,5.87152,0.357014,0.550313,6.255908,6.468328,6.501768,5.532808
"17866",2.81248,4.69194,71.0082,-2.64077,-0.215893,0.220064,0.282378,0.440187,0.626906,2.52897,0.237311,0.221765,0.373616,0.148486,0.155684,2.03072,1.86079,1.74605,1.93507,1.53108,1.86321,4.28733,6.78247,6.77252,6.78401,6.14388,0.594181,0.495352,6.681903,6.671953,6.683443,6.043313
"5862",2.19801,3.90265,61.3834,-2.93456,-0.505319,0.239284,0.307911,0.486782,0.506646,2.56126,0.256412,0.221904,0.349522,0.190515,0.140669,0.0179929,1.48488,0.750807,2.26277,0.556046,2.89931,5.5255,6.85269,6.92344,7.05025,6.22417,0.620833,0.773762,3.82362,3.89437,4.02118,3.1951
"853",1.75482,4.58441,55.1825,-2.58725,-0.180011,0.225844,0.313145,0.483958,0.467555,2.6681,0.302648,0.213385,0.422541,0.180555,0.241347,1.43796,1.08125,2.07583,1.26579,0.644484,2.6826,4.73438,6.89303,6.92271,7.028,5.88585,0.551812,0.552567,5.78536,5.81504,5.92033,4.77818
"5426",1.52411,4.31803,95.7576,-1.78955,-0.650499,0.228668,0.316371,0.508946,0.457698,2.59541,0.302866,0.227135,0.477841,0.189468,0.209097,0.0988961,0.319025,0.437704,2.31854,1.7257,3.3015,5.48896,6.96649,7.24755,7.05499,6.30472,0.466158,0.32289,5.17211,5.45317,5.26061,4.51034
"2953",1.5631,4.07603,65.6735,-2.88659,0.0376363,0.223823,0.305107,0.480706,0.483347,2.71974,0.233412,0.199619,0.441063,0.133211,0.11069,0.303256,1.50217,1.92155,2.83174,1.01696,2.3888,5.25354,6.68374,6.90657,6.95701,6.07201,0.573348,0.421272,6.479165,6.701995,6.752435,5.867435
"12156",1.64186,3.48291,70.8166,-2.30716,1.08069,0.220357,0.289768,0.444593,0.376983,2.18782,0.176302,0.145177,0.382096,0.137048,0.134147,0.78132,0.942228,0.759928,3.85952,0.953768,2.46331,4.81312,6.72091,6.8484,6.58144,6.03648,0.393479,0.350164,5.66891,5.7964,5.52944,4.98448
"12750",2.45931,3.41926,84.6465,-2.27053,0.217426,0.235867,0.310973,0.478307,0.406208,2.56728,0.315066,0.170861,0.426418,0.193247,0.119177,1.50132,1.1478,1.23262,1.327,0.673395,3.97182,4.77071,6.87728,7.29693,6.83259,6.30112,0.233129,0.273846,5.934528,6.354178,5.889838,5.358368
"2419",2.78248,4.06431,55.2795,-3.19952,0.696531,0.224319,0.311105,0.475435,0.402231,2.25951,0.249834,0.19408,0.401036,0.134599,0.113278,0.0165883,1.84529,0.734304,1.10283,2.11946,2.81454,5.24136,6.69088,7.066,6.78619,6.03064,0.434205,0.250907,6.082241,6.457361,6.177551,5.422001
"17300",2.07298,4.38654,84.7071,-2.20806,-0.272625,0.232407,0.291997,0.461939,0.508165,2.47864,0.306411,0.178853,0.406061,0.182893,0.0671965,0.378675,0.741081,0.157007,2.22121,2.5954,2.62299,4.92218,6.96231,7.04448,6.80936,5.99466,0.483129,0.498309,3.14339,3.22556,2.99044,2.17574
"14983",1.93377,5.26925,78.6811,-2.28274,-0.397375,0.232952,0.307047,0.467273,0.558904,2.27911,0.247306,0.163124,0.396773,0.178809,0.0835729,0.768074,0.801765,0.332933,1.39124,0.985875,1.9813,4.6648,6.76111,6.95692,6.85778,6.2718,0.60628,0.645247,5.63824,5.83405,5.73491,5.14893
"16988",2.25325,5.56499,95.6762,-1.74739,0.0729113,0.230547,0.300624,0.476755,0.360596,2.73264,0.278704,0.172152,0.386009,0.163428,0.11869,2.2698,1.26513,0.802818,2.55794,1.18748,2.97414,4.59939,6.90253,7.21886,6.84339,6.52699,0.360082,0.348658,5.43919,5.75552,5.38005,5.06365
"8676",1.67344,4.54818,101.835,-2.61348,0.794448,0.231592,0.308205,0.478063,0.454511,2.20323,0.213434,0.201619,0.348363,0.158097,0.0945695,1.03402,1.19186,3.56028,3.1921,0.749777,2.82219,4.93761,6.84036,7.19162,7.05253,6.19329,0.494386,0.34082,5.44091,5.79217,5.65308,4.79384
"18311",2.3305,4.47061,93.7634,-1.7068,0.59627,0.21696,0.284913,0.448437,0.723442,2.23917,0.241472,0.201666,0.350345,0.176027,0.0720065,0.121842,0.0440924,1.56011,2.35405,0.784363,3.09826,5.06974,6.84837,7.11012,6.8698,6.22513,0.401701,0.489171,6.023535,6.285285,6.044965,5.400295
"10795",1.25193,4.63988,83.2151,-1.80876,0.835659,0.226401,0.302159,0.471869,0.460157,2.79364,0.206443,0.205229,0.397311,0.18396,0.115649,1.79153,1.52943,0.377622,2.87119,1.65959,3.04919,4.68558,6.7897,7.10867,6.90642,6.19758,0.464237,0.544131,4.07041,4.38938,4.18713,3.47829
"12011",1.4871,4.9162,81.1987,-1.7576,0.821163,0.218776,0.293778,0.448899,0.405488,2.6456,0.216651,0.157332,0.371071,0.150458,0.135656,0.798349,1.06436,1.08053,1.2953,1.12779,3.16563,4.85758,6.73511,7.19822,6.81341,6.34129,0.339731,0.530983,4.35881,4.82192,4.43711,3.96499
"16955",1.7975,4.30854,73.9595,-2.07266,-0.269141,0.221032,0.293828,0.467555,0.333124,2.24494,0.301716,0.180184,0.423517,0.178829,0.0693383,0.243348,2.93437,2.60831,0.172701,2.65893,3.44064,5.03114,6.86476,7.15059,7.01917,6.27993,0.403262,0.466681,6.702712,6.988542,6.857122,6.117882
"10204",2.26233,4.28084,76.806,-1.36182,0.661132,0.226877,0.296417,0.452498,0.444505,2.4159,0.204224,0.203823,0.376519,0.139868,0.145149,0.871993,1.81117,0.257169,3.40081,0.668454,2.70237,4.68967,6.84348,7.13282,6.97321,5.90854,0.524011,0.346009,5.877341,6.166681,6.007071,4.942401
"7663",1.66898,4.33775,65.9305,-1.78167,0.453013,0.227924,0.289964,0.453675,0.416696,2.64558,0.196343,0.243217,0.391252,0.191677,0.152487,0.680718,0.895351,1.15925,0.275107,0.25788,1.69241,4.73972,6.57443,6.51504,6.93593,5.75476,0.625659,0.725067,5.33921,5.27982,5.70071,4.51954
"12522",2.49241,4.46831,80.8311,-1.94299,0.348274,0.227024,0.283948,0.444507,0.558616,2.69873,0.242082,0.166066,0.373283,0.153939,0.0773914,1.01524,0.830715,1.27442,2.52942,1.40942,2.63804,4.68075,6.89578,7.15577,6.71232,6.23581,0.492592,0.734618,3.60041,3.8604,3.41695,2.94044
"7077",2.04304,4.73939,71.085,-1.55229,0.742493,0.221122,0.302982,0.483037,0.638387,2.47145,0.295637,0.204925,0.390779,0.121119,0.112451,0.300228,1.39405,2.55647,1.55523,0.165389,2.52255,5.12467,6.71094,7.035,6.73628,5.92202,0.544264,0.463478,6.253207,6.577267,6.278547,5.464287
"2494",1.83821,4.46258,70.8195,-2.18467,0.547036,0.237179,0.313861,0.483211,0.465096,2.45787,0.246335,0.203255,0.437412,0.171265,0.0559117,1.57722,1.09786,0.335182,1.09162,0.305162,3.41302,4.70073,6.77624,7.09372,6.90137,6.22744,0.321877,0.343749,4.98579,5.30327,5.11092,4.43699
"4170",2.13886,4.53508,93.821,-1.14661,-0.821493,0.234081,0.303093,0.484095,0.405923,2.17921,0.279591,0.17292,0.382522,0.185553,0.0616984,0.904258,1.81541,3.16516,3.25434,1.35055,2.75568,4.62771,6.93029,7.13744,7.09128,6.60965,0.342059,0.351177,6.093733,6.300883,6.254723,5.773093
