"","hs.1.","hs.2.","hl","ts.1.","ts.2.","p.1.","p.2.","p.3.","gamma","rho.1.","phi","delta.1.","delta.2.","delta.3.","delta.4.","L.1.","tau.1.","tau.2.","tau.3.","tau.4.","w.1.","lc.1.1.","lc.2.1.","lc.2.2.","lc.2.3.","lc.2.4.","alpha.1.","beta.1.","lc.3.1.","lc.3.2.","lc.3.3.","lc.3.4."
"687",1.87967,4.24992,46.335,-2.25949,-0.0838558,0.221898,0.289549,0.441395,0.512665,2.56933,0.210434,0.209974,0.408168,0.111399,0.167197,0.556803,1.46813,0.949431,1.35386,0.706881,2.80236,4.89075,6.75806,6.93343,6.72231,6.24779,0.506966,0.59024,2.67014,2.84551,2.63439,2.15987
"3012",1.85037,4.66834,65.226,-3.1379,0.149276,0.234087,0.314953,0.503569,0.468398,2.35501,0.296508,0.189888,0.405256,0.163647,0.0791378,0.929145,0.881957,1.64371,3.18103,1.23106,2.05893,4.71478,6.77715,6.83571,6.93127,5.8606,0.599113,0.532393,5.25834,5.3169,5.41246,4.34179
"9338",3.07951,3.61642,70.7956,-2.5872,0.826974,0.235927,0.318449,0.509375,0.469603,2.35872,0.240931,0.216614,0.361776,0.157633,0.174606,0.74171,0.319926,0.198107,2.64493,1.28643,2.76176,4.83465,6.62031,7.0765,6.82728,5.756,0.462895,0.349475,6.392928,6.849118,6.599898,5.528618
"9867",2.26263,4.72334,35.648,-2.06916,1.18626,0.231052,0.300384,0.47144,0.350696,2.42529,0.29741,0.185295,0.340823,0.158376,0.18839,0.346118,1.42942,1.14686,1.56034,0.220244,1.81399,4.91432,6.4178,6.54901,6.7339,5.74876,0.647744,0.87617,4.64745,4.77866,4.96355,3.97841
"16226",0.92806,4.41131,69.4071,-2.81813,-0.178353,0.229739,0.303833,0.476978,0.756349,2.38085,0.270126,0.230807,0.397602,0.189191,0.112903,0.367291,1.46707,1.65682,3.37558,0.17959,3.23135,5.26989,6.84301,7.19652,6.86442,6.16984,0.442148,0.304262,3.85688,4.21039,3.87829,3.18371
"10644",2.4206,4.3552,57.6167,-2.10103,0.900337,0.237489,0.307461,0.496737,0.579453,2.84699,0.302442,0.185066,0.389558,0.183635,0.113042,0.265357,1.87541,0.740578,3.64649,0.770645,2.45599,5.16406,6.65839,6.93564,6.88649,6.03128,0.549761,0.431596,4.37742,4.65467,4.60552,3.75031
"14610",2.05791,5.45811,62.7177,-2.14711,-0.401501,0.232155,0.308723,0.482426,0.502742,2.48506,0.187007,0.177228,0.412311,0.147527,0.0703358,1.11565,0.334143,0.710454,3.51267,1.78001,2.28018,4.65141,6.683,7.07578,6.97281,6.39487,0.545302,0.452508,4.74994,5.14272,5.03975,4.46181
"17209",2.0769,3.96116,69.8658,-1.96205,0.127165,0.238359,0.303047,0.482478,0.632574,2.6693,0.1719,0.227912,0.40688,0.195513,0.208181,1.09719,2.33811,1.17017,1.13671,1.18764,3.74779,4.77462,6.82602,7.27167,6.89358,6.18699,0.436719,0.39138,5.70548,6.15113,5.77304,5.06645
"3616",1.40816,4.86664,74.0978,-2.32497,-0.242191,0.23689,0.311166,0.499132,0.398866,2.33514,0.231767,0.161258,0.369032,0.169145,0.228844,0.944294,0.555443,1.0537,1.55108,1.03021,2.62031,4.84787,6.84371,7.09999,6.88879,6.32973,0.374971,0.474915,6.304389,6.560669,6.349469,5.790409
"7682",2.3224,3.15511,79.8951,-2.03371,1.04754,0.230455,0.296152,0.46694,0.29993,2.55051,0.320186,0.184568,0.458485,0.206053,0.126449,0.871783,1.56753,0.269005,2.75408,1.36816,2.8202,4.95429,6.87966,7.09375,6.64954,5.82022,0.490638,0.353356,1.74373,1.95782,1.51361,0.68429
"6953",1.27932,3.82654,63.9434,-2.02339,-0.0149002,0.229633,0.300534,0.462437,0.562356,2.63055,0.238374,0.188457,0.37548,0.181881,0.101568,0.0135637,1.87548,0.757626,2.29292,1.29477,2.85488,5.31962,6.71673,6.98749,6.92872,5.96422,0.457579,0.413368,6.515868,6.786628,6.727858,5.763358
"11125",1.78646,4.6173,87.3842,-1.6577,-0.209663,0.225608,0.300629,0.487655,0.408734,2.35191,0.223528,0.148576,0.361832,0.141796,0.101401,0.5275,1.50314,0.214168,2.86289,2.57493,3.68102,4.89859,6.85344,7.34052,6.86321,6.22342,0.237529,0.39372,6.425049,6.912129,6.434819,5.795029
"4039",1.32045,5.02601,86.0386,-2.58863,0.910672,0.224343,0.303545,0.463698,0.627184,2.61067,0.229076,0.142869,0.397886,0.136288,0.225965,0.680655,1.65567,1.1892,1.45078,2.20152,2.64544,5.11072,7.0202,6.93173,6.7687,6.06878,0.272272,0.520976,6.432955,6.344485,6.181455,5.481535
"19049",2.09405,4.36452,83.556,-1.47783,-0.204895,0.231495,0.296884,0.476674,0.394484,2.38261,0.244938,0.179124,0.37453,0.165203,0.145106,1.83086,1.80204,2.58921,2.58493,0.823112,2.43566,4.40053,6.886,7.05327,6.76186,6.03687,0.496639,0.503286,5.07898,5.24625,4.95484,4.22985
"15158",2.09993,5.13312,71.4315,-2.24639,0.67251,0.223342,0.286705,0.436463,0.451896,2.48975,0.244903,0.172967,0.444458,0.18039,0.15252,0.744893,0.201155,2.4178,1.97278,2.07394,2.73212,4.88045,6.79747,6.99077,6.97386,6.20757,0.393947,0.642084,5.49703,5.69033,5.67342,4.90713
"4530",2.24684,4.51764,67.3977,-2.47744,0.273014,0.222628,0.288223,0.443644,0.601066,2.73826,0.303448,0.236657,0.540143,0.221207,0.205615,1.67723,1.30228,1.84225,2.63888,0.805699,2.45901,4.68457,6.71282,6.97498,6.93224,6.17657,0.685539,0.546333,6.184143,6.446303,6.403563,5.647893
"4245",3.19464,4.72355,92.8788,-2.63599,-0.119685,0.230965,0.298866,0.482595,0.350897,2.49596,0.270931,0.200617,0.393872,0.193057,0.15762,0.436444,1.78388,0.278599,1.19678,2.35799,3.46771,5.02657,6.85249,7.29685,6.96186,6.01152,0.328756,0.22423,6.186522,6.630882,6.295892,5.345552
"14122",2.18853,4.11173,74.3624,-1.81517,-0.0812006,0.233148,0.306064,0.474705,0.367046,2.48776,0.236961,0.173587,0.408178,0.120027,0.0794765,1.56535,1.01142,0.388216,3.06775,1.0808,2.16153,4.51115,6.86028,6.87743,7.03018,6.01901,0.532794,0.447452,6.408769,6.425919,6.578669,5.567499
"8135",2.16322,5.25169,78.6328,-2.63883,1.42555,0.22961,0.297487,0.453434,0.733777,2.69969,0.172414,0.184327,0.371408,0.151775,0.0676531,1.85427,1.42671,1.81688,1.64468,0.511228,2.24953,4.55436,6.85662,6.9476,6.80152,6.088,0.571627,0.493279,5.451,5.54198,5.3959,4.68238
"9151",1.9501,4.51161,66.9861,-1.99957,0.170547,0.227822,0.313209,0.493178,0.518511,2.52315,0.307226,0.205805,0.380946,0.116726,0.138297,0.205937,1.49587,0.332885,2.86019,1.04791,2.94546,5.13487,6.77454,7.14797,6.91349,6.63595,0.499963,0.354227,3.74511,4.11854,3.88406,3.60652
"10144",0.871409,4.52924,96.6382,-2.05145,-0.0534903,0.22703,0.298385,0.480712,0.357198,2.56852,0.223595,0.186755,0.405765,0.202864,0.104173,0.537193,1.17274,0.401729,1.45082,1.26347,2.2509,5.20654,6.79479,6.95964,7.00221,6.25915,0.575125,0.306697,5.48515,5.65,5.69257,4.94951
"18891",2.434,3.97553,55.2249,-2.38314,-0.30695,0.224014,0.291478,0.457829,0.512729,2.44443,0.246709,0.163548,0.373088,0.173493,0.292038,0.417291,0.31604,1.86464,0.117911,0.462156,2.58928,4.95637,6.75556,7.05813,6.88565,5.70728,0.571343,0.640566,5.04444,5.34701,5.17453,3.99616
"3100",1.77614,3.8199,60.5207,-1.97373,0.200803,0.222545,0.292506,0.461505,0.465066,2.08039,0.230594,0.171817,0.417729,0.139539,0.144572,1.50247,2.07288,1.24261,3.43877,1.80989,2.07144,4.43595,6.72379,6.88375,6.83224,6.2747,0.6566,0.347142,4.71516,4.87512,4.82361,4.26607
"16982",1.93607,4.95614,70.4823,-1.41837,0.0753503,0.238578,0.306778,0.466969,0.41318,2.26506,0.323441,0.149611,0.380241,0.125316,0.103553,0.347596,1.18754,2.06776,2.1259,0.370553,3.58258,4.94554,6.92197,7.2256,6.88356,6.31058,0.270367,0.327012,6.52912,6.83275,6.49071,5.91773
"8863",2.21186,4.41356,79.8403,-1.90473,0.830223,0.231199,0.31535,0.489474,0.385279,2.20853,0.199002,0.197915,0.42594,0.18645,0.127679,0.734752,1.25753,0.720087,1.68036,0.292912,3.0125,4.88445,6.84306,7.16479,6.92646,6.27294,0.407119,0.256153,4.37025,4.69198,4.45365,3.80013
"16812",0.762062,5.11176,63.7187,-1.95272,-0.132253,0.243228,0.30477,0.477276,0.5691,2.35267,0.31485,0.214641,0.335803,0.143117,0.127852,0.70347,1.40037,0.794919,2.56636,0.600081,2.18962,5.01597,6.7654,7.04003,6.97055,6.04102,0.486391,0.495859,4.98697,5.2616,5.19212,4.26259
"14879",1.8306,4.1118,71.8768,-2.12248,-0.0609806,0.235124,0.291284,0.458351,0.381627,2.57591,0.202106,0.180919,0.428822,0.152364,0.0853323,1.28254,1.41008,0.87984,1.82588,0.403547,2.54825,4.6505,6.72195,7.0147,6.63648,6.13005,0.288514,0.550876,6.264116,6.556866,6.178646,5.672216
"15536",1.98596,4.17231,76.8585,-2.15794,0.121148,0.228537,0.308524,0.48354,0.605566,2.35587,0.286859,0.173379,0.37076,0.167036,0.17052,0.719816,0.580622,0.992752,1.89017,1.06706,3.61587,4.96002,6.87761,7.21839,6.90414,6.50624,0.355689,0.340834,6.295052,6.635832,6.321582,5.923682
"16802",1.48397,4.31326,42.3378,-2.37069,-0.162608,0.220863,0.29171,0.459502,0.595936,2.53868,0.179776,0.237629,0.440951,0.218089,0.159875,1.72643,1.33116,0.390564,1.49006,1.3083,1.6805,4.17991,6.77712,6.35966,6.7125,5.84961,0.936435,0.92643,4.66695,4.24949,4.60233,3.73944
"10384",1.25109,3.96335,72.082,-1.91061,0.950847,0.24227,0.31013,0.495997,0.300173,2.07625,0.293175,0.165865,0.357694,0.121149,0.0776847,2.33604,1.52017,1.59548,3.02439,1.39092,2.49969,4.42524,6.81753,7.04114,6.85289,5.88832,0.408055,0.584782,6.289042,6.512652,6.324402,5.359832
"9943",1.71972,4.34316,69.2463,-1.35291,1.10119,0.22369,0.303445,0.475298,0.47141,2.72701,0.249673,0.182146,0.427029,0.13061,0.134774,1.14463,0.825586,1.6682,3.03885,0.400145,2.17094,4.56586,6.62681,6.77244,7.02651,5.43202,0.517072,0.551545,5.13089,5.27652,5.53059,3.9361
"3032",2.19973,4.7083,75.77,-2.18091,0.458545,0.226714,0.298805,0.458113,0.530578,2.62523,0.221635,0.128979,0.450212,0.149964,0.206832,0.603558,1.47011,0.405708,2.25822,1.14833,2.5013,4.83806,6.69425,7.03969,6.72088,5.93481,0.52148,0.479065,1.82636,2.1718,1.85299,1.06692
"11772",1.65366,4.01552,41.687,-1.82597,0.940886,0.209834,0.283801,0.432091,0.412366,2.31342,0.264789,0.21934,0.416464,0.165336,0.0462102,0.800317,0.824886,1.49243,2.29501,2.44928,2.43897,4.65647,6.57542,6.82104,6.70175,6.08139,0.524975,0.463984,5.76359,6.00921,5.88992,5.26956
"6422",2.00146,4.57445,69.4306,-1.49283,-0.824856,0.221882,0.290699,0.463913,0.557859,2.8246,0.181116,0.153981,0.370159,0.132306,0.0725326,1.15908,0.597579,2.31147,1.28002,0.527248,2.49691,4.68602,6.899,7.0108,6.95867,6.49916,0.443462,0.546269,5.32217,5.43397,5.38184,4.92233
"119",2.62366,4.45344,62.158,-2.29744,0.266648,0.233125,0.310514,0.468162,0.43817,2.451,0.193949,0.182195,0.38837,0.195223,0.0588081,0.987681,1.96279,0.0870441,2.29457,0.317364,1.94776,4.60012,6.76271,6.88858,6.60019,5.84654,0.574239,0.33445,6.522898,6.648768,6.360378,5.606728
"6929",1.7906,3.71111,47.1446,-2.44809,0.389558,0.220478,0.294708,0.473912,0.469544,2.38009,0.311035,0.141963,0.413642,0.138795,0.162266,0.527951,2.61236,1.05446,2.60836,0.140559,2.28507,4.8399,6.64869,6.74727,6.73899,6.16559,0.509955,0.438509,4.99936,5.09794,5.08966,4.51626
"1418",2.10053,4.25319,51.5721,-3.03561,0.324361,0.230182,0.28761,0.440348,0.458261,2.54027,0.330675,0.23653,0.438398,0.198808,0.102592,0.891924,0.62744,1.32973,2.19566,3.25504,2.79937,4.91909,6.79663,7.10158,7.10529,6.08125,0.586308,0.294392,4.85677,5.16172,5.16543,4.14139
"8697",1.97336,3.77414,72.8482,-2.12291,0.508919,0.239426,0.314347,0.493254,0.482038,2.32373,0.250097,0.161119,0.435462,0.120664,0.064764,1.08571,2.03841,2.94536,0.948664,1.92459,4.00791,4.77115,6.86678,7.26744,6.79636,6.20767,0.279687,0.37853,4.48201,4.88267,4.41159,3.8229
"10941",1.87459,4.60745,68.6068,-2.80108,-0.176303,0.234438,0.31208,0.499743,0.430384,2.68629,0.279192,0.178076,0.403918,0.196116,0.178459,1.90933,1.94823,0.331406,1.80977,1.18992,2.9721,4.55979,6.93977,7.09392,6.90049,6.12317,0.347459,0.403547,4.75818,4.91233,4.7189,3.94158
"3928",1.80949,4.28933,72.2249,-3.00506,0.691325,0.235353,0.304474,0.48668,0.524529,2.25729,0.259027,0.20556,0.388803,0.16673,0.058512,0.300272,0.785415,0.208267,1.5109,1.69683,2.93771,5.24138,6.79474,7.03011,7.02944,6.37634,0.521308,0.426081,5.38086,5.61623,5.61556,4.96246
"15912",1.66637,4.43405,89.9294,-0.340206,0.69546,0.229696,0.29767,0.453678,0.412808,2.55648,0.244268,0.192469,0.311629,0.118446,0.135373,2.10421,1.54052,0.284007,2.57464,0.860086,3.84253,4.50581,6.8293,7.24286,6.89971,6.61421,0.285165,0.316301,4.77054,5.1841,4.84095,4.55545
"10430",2.79667,4.23355,59.7595,-2.23875,-0.180899,0.21928,0.296096,0.46187,0.343972,2.43104,0.293138,0.203987,0.420697,0.189102,0.200679,0.813681,0.87616,0.100266,3.31494,2.28861,2.35079,4.75633,6.83172,6.99126,6.95195,6.09209,0.580698,0.369842,2.4079,2.56744,2.52813,1.66827
"16680",1.57001,3.79897,65.9241,-1.77145,-0.0215295,0.221268,0.303008,0.480403,0.461204,2.36831,0.309937,0.166378,0.435218,0.165124,0.179443,0.17388,1.54922,1.30008,1.76416,0.607493,2.98317,5.09451,6.75262,7.03232,6.93341,5.96484,0.397375,0.435539,6.035133,6.314833,6.215923,5.247353
"6030",1.72659,3.93597,42.0704,-2.36812,0.616263,0.200474,0.267396,0.408032,0.684962,2.26527,0.365194,0.185894,0.356732,0.148423,0.153743,0.426045,1.0988,1.05025,2.06671,2.41702,2.07111,4.90872,6.60352,6.6344,6.70854,5.65662,0.70241,0.821831,5.47764,5.50852,5.58266,4.53074
"16659",2.09661,5.59848,43.8394,-1.93327,0.788481,0.218937,0.298886,0.461594,0.414552,2.77474,0.250382,0.209405,0.413695,0.201367,0.0837706,0.683603,2.13217,1.27582,2.02226,1.53042,2.57243,4.77668,6.62232,6.84636,7.01628,6.04895,0.532223,0.52431,4.49832,4.72236,4.89228,3.92495
"17951",1.40381,4.08665,80.6273,-1.93469,-0.0812783,0.222559,0.300115,0.46104,0.365215,2.25309,0.215436,0.205557,0.3979,0.126176,0.175594,1.67081,1.38008,1.03317,3.73692,2.61657,3.41069,4.74931,6.87484,7.29754,6.93422,6.22688,0.352928,0.256602,6.255721,6.678421,6.315101,5.607761
"1860",1.32975,3.71352,54.8831,-1.33666,0.407917,0.235444,0.29827,0.471573,0.296718,2.02285,0.370068,0.155885,0.413629,0.18693,0.202147,1.21548,2.37334,2.36535,1.78892,1.11886,3.2171,4.62117,6.75923,7.12733,6.69762,6.33476,0.435835,0.336617,5.53297,5.90107,5.47136,5.1085
"7457",1.66458,3.8038,82.6654,-2.09704,0.472587,0.220481,0.295921,0.460757,0.399947,2.50902,0.218451,0.203964,0.415443,0.173978,0.159277,1.31252,0.306978,0.256479,3.24369,0.906526,2.26119,4.60572,6.81681,6.9062,6.86112,6.56553,0.57172,0.442458,3.11219,3.20158,3.1565,2.86091
"14127",1.88792,4.58776,102.863,-2.3604,0.431457,0.228377,0.31102,0.478039,0.542838,2.45038,0.242607,0.190535,0.355461,0.219359,0.1554,0.157534,1.53343,1.19219,1.18914,1.01501,4.41407,5.3386,6.9331,7.27231,6.93667,6.13306,0.352318,0.336784,6.613232,6.952442,6.616802,5.813192
"12821",2.17135,4.42117,80.3701,-1.4325,0.269542,0.22809,0.292183,0.476017,0.399772,2.59435,0.312716,0.225505,0.470791,0.231758,0.315198,1.03955,1.61403,0.642439,2.80481,0.924446,3.52555,4.91044,6.88443,7.21039,7.01316,5.9449,0.408562,0.389721,5.04059,5.36655,5.16932,4.10106
"9240",1.25458,3.69413,98.6178,-2.40329,0.735111,0.235716,0.302747,0.47372,0.511888,2.33105,0.229131,0.183618,0.374301,0.166779,0.141164,1.54207,0.233228,3.00259,2.16602,0.478565,3.09164,4.83983,6.82718,7.09031,6.71045,6.00945,0.275647,0.382055,5.14001,5.40314,5.02328,4.32228
"15027",1.37775,4.12955,70.9328,-2.18064,0.612536,0.229341,0.290315,0.459655,0.361625,2.29573,0.315216,0.178656,0.412978,0.13904,0.235062,1.49506,1.1137,1.27667,2.00819,0.87647,2.68142,4.65603,6.84443,7.01605,7.01836,6.01833,0.4971,0.56335,5.2279,5.39952,5.40183,4.4018
"12670",1.8724,4.45582,77.5682,-1.75348,0.0212565,0.242237,0.305841,0.482567,0.464904,2.29237,0.26592,0.22429,0.366174,0.171874,0.173596,0.589553,1.99815,1.27002,1.88647,1.52559,3.0514,4.92031,6.89028,7.09652,6.63301,6.69001,0.441855,0.34804,6.566946,6.773186,6.309676,6.366676
"15007",2.16647,4.44115,90.1501,-1.54046,0.0794539,0.234969,0.301988,0.478038,0.457559,2.5515,0.223453,0.172512,0.415886,0.147116,0.246525,0.814165,0.70007,0.724833,1.91401,0.291655,3.49908,4.85688,6.85492,7.18685,6.95055,6.2192,0.375712,0.430095,4.47906,4.81099,4.57469,3.84334
"13491",1.99558,5.04849,97.9101,-2.26291,0.259863,0.229228,0.300229,0.466112,0.630308,2.28003,0.194501,0.162946,0.377483,0.11501,0.084744,0.94716,1.09214,1.93965,2.71961,0.216869,3.40182,4.86834,6.88167,7.28404,6.94171,6.21899,0.379027,0.41933,4.38267,4.78504,4.44271,3.71999
"6220",1.23182,4.67759,64.3744,-2.74897,0.396586,0.231842,0.299127,0.484502,0.56029,2.47144,0.239361,0.157802,0.387333,0.160612,0.229306,0.0150123,0.97134,2.34185,2.14416,1.29377,1.97971,5.78374,6.61949,6.86498,7.10244,5.92466,0.656761,0.457126,3.93883,4.18432,4.42178,3.244
"9354",2.29278,3.62553,64.3632,-1.87257,0.407065,0.228091,0.292417,0.461583,0.465467,2.40921,0.27943,0.167522,0.374817,0.142814,0.18119,0.350627,0.303112,0.052015,2.7992,0.0100053,2.91298,4.90653,6.82031,7.07313,6.82945,6.00725,0.449415,0.496416,5.62162,5.87444,5.63076,4.80856
"10253",2.02416,3.2264,71.8871,-1.71421,0.500605,0.223487,0.306195,0.480534,0.386406,2.62313,0.29504,0.16536,0.436704,0.15317,0.0832064,0.306247,0.754391,0.865819,0.770743,2.0068,3.02737,4.95183,6.66993,6.92654,6.69566,6.04724,0.311584,0.407472,4.98904,5.24565,5.01477,4.36635
"5274",1.97289,4.46859,53.196,-2.51205,-0.180265,0.221237,0.28879,0.438387,0.376693,2.57238,0.272755,0.161907,0.400959,0.145719,0.0785118,0.25415,1.51597,0.0320144,1.59681,1.77603,2.04154,5.20691,6.62944,6.62521,7.07605,6.04432,0.675242,0.853806,5.00218,4.99795,5.44879,4.41706
"18276",2.6529,5.60195,62.6269,-2.00408,0.476125,0.218368,0.286535,0.438762,0.38667,2.53126,0.224552,0.135608,0.399668,0.151833,0.209482,1.22033,0.0638098,1.0397,2.06232,2.03904,1.61402,4.49598,6.83206,6.68277,6.89422,6.18696,0.641063,0.772788,5.835094,5.685804,5.897254,5.189994
"13220",1.50767,3.96067,100.158,-2.1126,0.536556,0.244087,0.313035,0.495657,0.539267,2.55102,0.321542,0.174674,0.406685,0.17742,0.0731912,0.541846,1.95934,1.85225,1.0017,0.883438,3.02895,5.01236,6.85818,7.34872,6.7583,5.90239,0.364112,0.214645,3.83171,4.32225,3.73183,2.87592
"11116",2.42072,3.50403,75.8693,-1.33213,0.205443,0.234639,0.308451,0.497562,0.52096,2.67344,0.294643,0.175031,0.422718,0.173523,0.103426,0.631828,1.23892,0.83677,0.834344,0.417609,3.31168,4.94356,6.81097,7.28886,6.8767,6.1614,0.430507,0.305599,5.44864,5.92653,5.51437,4.79907
"16081",2.5461,5.15641,85.5278,-1.37343,0.800825,0.214775,0.285455,0.451607,0.473185,2.54283,0.292924,0.200859,0.50358,0.217723,0.125319,0.0497481,1.1771,0.155324,2.33857,0.607664,2.55961,5.34842,6.79447,6.95462,6.97231,6.01849,0.553938,0.486775,3.80377,3.96392,3.98161,3.02779
"2567",1.89691,4.12818,57.7383,-1.59528,0.87611,0.228166,0.300838,0.477525,0.627962,2.59399,0.23278,0.18054,0.428991,0.177951,0.151797,0.23555,0.870203,0.639845,3.24468,2.79076,2.79183,4.95961,6.6184,7.00791,6.80749,5.64837,0.492532,0.394442,6.337666,6.727176,6.526756,5.367636
"7708",1.97879,4.21646,74.5568,-2.10541,0.87452,0.220977,0.288484,0.436567,0.641058,2.36317,0.135096,0.254295,0.347581,0.137982,0.156327,0.756138,0.981996,1.38993,2.61276,0.563612,2.22129,4.65913,6.65619,6.75928,7.04927,5.8622,0.497131,0.841762,5.858229,5.961319,6.251309,5.064239
"10791",3.30158,4.75926,44.4994,-2.52482,-0.0135725,0.217881,0.299287,0.466789,0.352698,2.30777,0.221091,0.155995,0.472614,0.148236,0.0503596,0.541992,1.1171,0.351848,2.64662,0.892149,2.18892,4.74819,6.45088,6.94064,6.96282,6.0058,0.585812,0.531711,5.478656,5.968416,5.990596,5.033576
"6604",2.26626,4.70869,94.9522,-1.41881,0.418347,0.219478,0.28475,0.433067,0.533805,2.32472,0.260465,0.189634,0.448033,0.148363,0.0853369,0.60268,0.219098,0.674053,3.44073,0.650298,1.96035,4.61078,6.84347,6.80003,6.95145,6.39878,0.583351,0.917505,5.884989,5.841549,5.992969,5.440299
"15349",2.29951,4.20927,88.844,-1.99349,0.288257,0.228051,0.286228,0.445972,0.395252,2.209,0.202564,0.184136,0.429347,0.157453,0.090473,0.838796,1.68779,0.910461,2.14441,0.388008,3.88205,4.80522,6.89662,7.27855,7.01378,6.3444,0.335356,0.335731,6.32462,6.70655,6.44178,5.7724
